age,categorie_age,sexe,milieu,niveau_education,experience,etat_matrimonial,possede_voiture,possede_logement,possede_terrain,socio_pro_group,revenu_annuel,nombre_enfants,charge_parentale,travail_secondaire,colonne_redundante,non_pertinente
56,Sénior,Femme,Rural,Sans niveau,36,Marié,0,0,0,5,17280.12515160619,1,1,0,56,N/A
69,Âgé,Homme,Urbain,Sans niveau,53,Marié,0,1,0,4,42914.143441587374,1,1,0,69,N/A
46,Sénior,Femme,Rural,Secondaire,22,Célibataire,1,1,0,5,34253.521168400745,2,0,0,46,N/A
32,Adulte,Homme,Rural,Fondamental,15,Marié,0,0,0,3,23291.7046079531,2,1,1,32,N/A
60,Âgé,Homme,Rural,Secondaire,43,Célibataire,0,0,0,2,35530.245678884516,3,0,0,60,N/A
25,Jeune,Homme,Rural,Fondamental,4,Célibataire,0,1,0,4,28870.819391622063,3,0,0,25,N/A
38,Adulte,Homme,Urbain,Sans niveau,15,Marié,0,0,0,2,33985.54185313357,1,0,0,38,N/A
56,Sénior,Femme,Rural,Secondaire,35,Marié,0,0,1,4,27741.2660251473,2,1,1,56,N/A
36,Adulte,Homme,Rural,Sans niveau,19,Célibataire,1,0,0,3,24213.745397921266,2,0,0,36,N/A
40,Sénior,Homme,Urbain,Sans niveau,20,Marié,0,1,0,3,35895.04848447255,4,1,0,40,N/A
28,Adulte,Femme,Rural,Secondaire,4,Marié,0,0,0,6,17183.749273844125,2,1,0,28,N/A
28,Adulte,Homme,Urbain,Supérieur,11,Divorcé,0,0,1,5,37758.42639805982,5,0,0,28,N/A
41,Sénior,Homme,Urbain,Supérieur,19,Marié,0,1,0,2,50246.77306568417,1,0,0,41,N/A
53,Sénior,Homme,Urbain,Fondamental,33,Divorcé,1,0,0,4,39435.115526615955,0,0,0,53,N/A
57,Sénior,Homme,Rural,Secondaire,36,Célibataire,1,1,1,3,,2,1,0,57,N/A
41,Sénior,Homme,Urbain,Secondaire,23,None,1,1,1,3,42248.491227687766,2,1,0,41,N/A
20,Jeune,Homme,Rural,Sans niveau,0,Marié,0,1,0,5,21891.986100950857,1,1,0,20,N/A
39,Adulte,Femme,Urbain,Fondamental,20,Célibataire,1,0,0,5,35800.758204003825,1,0,0,39,N/A
19,Jeune,Femme,Urbain,Secondaire,0,Célibataire,1,1,0,3,35608.70378706104,2,0,0,19,N/A
41,Sénior,Homme,Urbain,Secondaire,19,Marié,0,1,0,3,42584.93918715071,1,1,0,41,N/A
61,Âgé,Homme,Urbain,Fondamental,44,Célibataire,0,1,0,6,43452.6407810526,4,0,0,61,N/A
47,Sénior,Homme,Urbain,Secondaire,30,Marié,0,0,0,3,42522.05161515032,1,1,0,47,N/A
55,Sénior,Femme,Urbain,None,35,Célibataire,0,1,1,3,39956.36991079438,2,0,0,55,N/A
19,Jeune,Homme,Urbain,Supérieur,3,Marié,0,0,0,3,,2,0,0,19,N/A
38,Adulte,Femme,Rural,Supérieur,17,Marié,1,0,1,3,35849.580945208014,2,0,1,38,N/A
50,Sénior,Femme,Rural,Supérieur,29,Célibataire,0,0,1,5,26747.009631223766,1,1,0,50,N/A
29,Adulte,Homme,Urbain,Supérieur,10,Célibataire,0,0,1,5,35699.561972990195,4,0,0,29,N/A
39,Adulte,Femme,Urbain,Secondaire,17,Divorcé,0,0,0,2,29599.628222641575,1,1,0,39,N/A
61,Âgé,Homme,Urbain,Sans niveau,42,Divorcé,0,1,0,5,40551.49029920168,5,0,0,61,N/A
42,Sénior,Homme,Urbain,Fondamental,26,Célibataire,1,0,0,3,41812.972092494565,1,1,0,42,N/A
66,Âgé,Homme,Rural,Sans niveau,47,Divorcé,0,1,1,2,36090.98933915662,1,0,0,66,N/A
44,Sénior,Homme,Rural,Sans niveau,28,Célibataire,0,0,0,4,20760.55128211624,0,1,1,44,N/A
59,Sénior,Femme,Urbain,Sans niveau,40,None,0,0,0,5,33141.91514532547,2,0,0,59,N/A
45,Sénior,Femme,Urbain,Secondaire,24,Marié,0,0,0,4,26600.031126259455,1,0,0,45,N/A
33,Adulte,Homme,Rural,Secondaire,13,Célibataire,0,0,0,5,25897.215684060637,4,1,0,33,N/A
32,Adulte,Femme,Urbain,Secondaire,10,Célibataire,0,0,0,4,28994.796617181106,4,1,0,32,N/A
64,Âgé,Homme,Urbain,Fondamental,44,Marié,0,0,1,4,43172.93035251706,4,0,1,64,N/A
68,Âgé,Homme,Urbain,Sans niveau,49,Célibataire,0,0,0,6,38769.31197683429,4,1,1,68,N/A
61,Âgé,Homme,Rural,Fondamental,43,Divorcé,1,0,0,4,32605.09636138644,0,1,0,61,N/A
69,Âgé,Femme,Urbain,Fondamental,51,Célibataire,1,0,0,2,43732.48915722237,4,1,0,69,N/A
20,Jeune,Femme,Urbain,Fondamental,0,Marié,1,0,0,5,27762.85356311802,3,0,0,20,N/A
54,Sénior,Femme,Urbain,Fondamental,37,Célibataire,0,0,0,2,34552.40803344609,0,0,0,54,N/A
68,Âgé,Femme,Urbain,Secondaire,48,Marié,0,1,1,4,47056.753640759234,3,0,0,68,N/A
24,Jeune,Homme,Urbain,Sans niveau,0,Marié,0,0,0,4,30310.679988570104,3,1,1,24,N/A
38,Adulte,Homme,Urbain,Supérieur,22,None,1,1,0,1,50772.81464774202,4,1,0,38,N/A
26,Adulte,Homme,Urbain,Fondamental,5,Marié,1,1,0,5,35594.028526588285,6,0,0,26,N/A
56,Sénior,Femme,Urbain,Supérieur,40,Célibataire,0,1,0,3,53378.78361688824,2,1,0,56,N/A
35,Adulte,Homme,Urbain,Fondamental,13,Célibataire,1,0,0,5,37182.45937673039,1,0,0,35,N/A
21,Jeune,Femme,Rural,Secondaire,4,Célibataire,0,0,1,3,17743.07509368818,2,0,0,21,N/A
42,Sénior,Homme,Urbain,Supérieur,26,Divorcé,1,0,1,3,53389.69830649195,3,0,1,42,N/A
31,Adulte,Homme,Rural,Secondaire,11,Marié,1,1,0,4,31236.74524779637,5,1,0,31,N/A
67,Âgé,Homme,Urbain,Fondamental,45,Marié,1,0,0,3,39166.59991300774,1,0,0,67,N/A
26,Adulte,Femme,Urbain,Fondamental,5,Divorcé,0,0,0,2,28409.58222099723,2,0,1,26,N/A
43,Sénior,Homme,Rural,Sans niveau,27,Marié,0,1,0,4,30057.348392354783,1,0,0,43,N/A
19,Jeune,Homme,Urbain,None,0,Veuf,1,1,0,5,41480.45713304882,3,0,1,19,N/A
37,Adulte,Homme,Urbain,Sans niveau,13,Marié,0,1,0,1,43258.27736931736,0,1,0,37,N/A
45,Sénior,Femme,Urbain,None,28,Marié,0,0,0,5,27343.31733757537,0,0,0,45,N/A
64,Âgé,Femme,Rural,None,43,Célibataire,0,0,0,4,29727.407056481203,2,1,0,64,N/A
24,Jeune,Femme,Rural,Fondamental,8,Divorcé,1,0,0,3,22085.64848655104,1,1,0,24,N/A
61,Âgé,Homme,Rural,Fondamental,45,Célibataire,1,0,0,5,31713.461065361666,2,0,1,61,N/A
25,Jeune,Femme,Urbain,Sans niveau,5,Divorcé,1,0,0,3,29131.67378528239,2,0,0,25,N/A
64,Âgé,Femme,Urbain,Sans niveau,46,Marié,0,1,0,2,40598.43419662423,3,0,0,64,N/A
52,Sénior,Homme,Urbain,Fondamental,28,Marié,0,0,0,6,32676.030955574068,1,1,0,52,N/A
31,Adulte,Homme,Rural,Supérieur,11,Célibataire,0,0,1,3,34136.79411758788,2,1,0,31,N/A
34,Adulte,Homme,Rural,Sans niveau,13,Célibataire,1,1,1,2,35203.623077749224,0,0,0,34,N/A
53,Sénior,Homme,Urbain,Fondamental,34,Divorcé,0,0,0,3,37247.091596600825,1,0,0,53,N/A
67,Âgé,Femme,Rural,Supérieur,43,Marié,0,1,1,5,42886.45703552899,3,1,0,67,N/A
57,Sénior,Femme,Rural,Fondamental,35,Célibataire,0,0,0,3,28528.093264278763,3,1,0,57,N/A
21,Jeune,Femme,Rural,Fondamental,0,Marié,0,0,0,4,19167.785521173166,2,0,0,21,N/A
19,Jeune,Homme,Rural,Sans niveau,3,Divorcé,0,0,1,4,12561.1132181145,1,0,0,19,N/A
23,Jeune,Femme,Urbain,Sans niveau,0,None,0,1,0,6,28405.56819915513,5,1,1,23,N/A
59,Sénior,Homme,Rural,Secondaire,36,Marié,0,0,0,4,33024.04054734913,3,0,0,59,N/A
21,Jeune,Homme,Urbain,Sans niveau,3,Marié,1,0,0,6,26066.77395055321,3,0,0,21,N/A
46,Sénior,Femme,Rural,Fondamental,28,Célibataire,0,0,0,5,20318.852042778144,1,1,0,46,N/A
35,Adulte,Homme,Urbain,Fondamental,11,Marié,0,0,0,6,29828.64195640231,3,0,0,35,N/A
43,Sénior,Femme,Rural,Sans niveau,24,Marié,0,0,0,3,23735.740259867645,2,0,0,43,N/A
61,Âgé,Femme,Rural,Fondamental,40,Marié,0,1,0,1,34545.32343642463,0,0,1,61,N/A
51,Sénior,Femme,Rural,Sans niveau,29,Marié,0,1,1,5,28560.33792314084,5,1,0,51,N/A
27,Adulte,Homme,Urbain,Supérieur,8,Célibataire,0,0,0,5,35509.628787074886,1,1,1,27,N/A
53,Sénior,Femme,Rural,Fondamental,33,Célibataire,0,0,0,3,26347.41648511109,2,0,0,53,N/A
31,Adulte,Femme,Rural,Secondaire,13,Célibataire,0,0,0,5,18986.39927263692,3,0,0,31,N/A
48,Sénior,Femme,Rural,Secondaire,27,Célibataire,0,0,0,3,,3,0,0,48,N/A
65,Âgé,Femme,Rural,Sans niveau,45,Marié,0,0,0,4,27320.066744826127,2,1,1,65,N/A
32,Adulte,Femme,Urbain,Fondamental,13,Marié,0,0,0,3,31193.274887770043,0,1,0,32,N/A
25,Jeune,Homme,Rural,Secondaire,5,Célibataire,1,0,0,5,22961.595291694648,1,1,0,25,N/A
31,Adulte,Femme,Urbain,Sans niveau,11,Marié,0,0,0,3,28136.15914236666,1,0,0,31,N/A
40,Sénior,Femme,Urbain,None,21,Célibataire,0,1,1,4,33254.871020880855,0,0,0,40,N/A
57,Sénior,Femme,Rural,Sans niveau,39,Marié,1,0,0,6,27851.07938960063,2,1,0,57,N/A
38,Adulte,Femme,Rural,Sans niveau,21,Célibataire,1,0,1,3,26367.809953534605,3,1,0,38,N/A
33,Adulte,Homme,Urbain,Secondaire,10,Célibataire,0,1,0,3,37628.30202023322,5,0,0,33,N/A
62,Âgé,Homme,Rural,Secondaire,44,Marié,0,1,0,3,39869.74340936765,5,1,0,62,N/A
35,Adulte,Femme,Urbain,Secondaire,19,Marié,0,0,0,5,30504.31162658743,4,0,0,35,N/A
64,Âgé,Homme,Urbain,Fondamental,47,Célibataire,1,0,0,1,41893.58043469852,2,0,0,64,N/A
41,Sénior,Homme,Rural,Secondaire,20,None,1,1,1,6,35561.204299492885,2,0,1,41,N/A
43,Sénior,Homme,Urbain,Secondaire,26,Marié,1,1,0,4,49126.42669269635,2,1,0,43,N/A
42,Sénior,Homme,Urbain,Sans niveau,19,Marié,1,0,0,3,34911.4231881876,2,0,0,42,N/A
62,Âgé,Femme,Urbain,Sans niveau,45,Marié,0,0,0,3,37824.41506849319,2,0,0,62,N/A
58,Sénior,Homme,Urbain,Sans niveau,36,Marié,0,0,0,6,34233.466729960295,2,0,0,58,N/A
46,Sénior,Homme,Urbain,Sans niveau,22,Célibataire,1,1,0,5,39027.075776706115,1,0,0,46,N/A
32,Adulte,Homme,Urbain,Sans niveau,16,None,0,0,1,1,32857.251458424624,1,0,0,32,N/A
62,Âgé,Homme,Urbain,Fondamental,46,Marié,0,0,0,4,40087.197307638125,2,0,0,62,N/A
18,Jeune,Homme,Rural,Sans niveau,0,Marié,0,0,0,3,21891.197727608986,3,0,0,18,N/A
42,Sénior,Homme,Urbain,Fondamental,25,None,0,1,1,2,39732.41156979015,3,1,1,42,N/A
24,Jeune,Femme,Urbain,Secondaire,5,Célibataire,0,0,0,6,27346.68641500109,2,0,0,24,N/A
26,Adulte,Homme,Urbain,Sans niveau,7,Marié,0,0,0,5,27411.95502135237,2,0,0,26,N/A
41,Sénior,Femme,Urbain,Secondaire,25,Célibataire,0,0,0,2,39369.135372312005,1,0,1,41,N/A
18,Jeune,Femme,Urbain,Sans niveau,2,Marié,0,1,0,4,28229.120597641446,3,0,1,18,N/A
61,Âgé,Femme,Urbain,Sans niveau,44,Célibataire,1,0,0,2,41485.48226850754,1,0,0,61,N/A
25,Jeune,Homme,Urbain,Sans niveau,2,Divorcé,0,0,0,2,24712.00011013819,4,0,0,25,N/A
41,Sénior,Homme,Urbain,Fondamental,18,Célibataire,0,1,0,6,39896.197756595444,3,1,0,41,N/A
28,Adulte,Homme,Urbain,Fondamental,9,Marié,0,1,0,3,33558.33802564935,0,0,1,28,N/A
68,Âgé,Homme,Urbain,Secondaire,47,Célibataire,1,0,0,5,45274.73720764348,4,1,0,68,N/A
34,Adulte,Homme,Urbain,Secondaire,11,Divorcé,0,0,1,4,29604.479752504893,4,0,0,34,N/A
25,Jeune,Femme,Rural,Sans niveau,6,Marié,1,0,0,4,19405.92015058882,1,1,0,25,N/A
52,Sénior,Homme,Urbain,Sans niveau,30,Célibataire,0,1,1,5,40843.05199083154,4,1,0,52,N/A
52,Sénior,Homme,Urbain,Secondaire,29,Marié,0,1,1,6,38742.31045219659,3,0,0,52,N/A
50,Sénior,Homme,Urbain,Secondaire,34,Veuf,1,0,0,3,46505.80667756563,4,0,0,50,N/A
22,Jeune,Femme,Urbain,Supérieur,0,Célibataire,0,1,0,2,39168.60805441206,4,1,0,22,N/A
59,Sénior,Femme,Rural,Fondamental,41,Marié,1,1,0,1,36327.01679409522,2,0,0,59,N/A
56,Sénior,Homme,Urbain,Sans niveau,36,Marié,1,0,1,5,32741.215738892053,4,0,0,56,N/A
58,Sénior,Homme,Urbain,Fondamental,38,Célibataire,1,1,0,4,49523.58485625736,1,0,0,58,N/A
45,Sénior,Homme,Urbain,Sans niveau,29,Marié,0,0,0,4,35522.93035453499,4,1,0,45,N/A
24,Jeune,Femme,Urbain,Secondaire,1,None,0,0,1,4,31392.999733999844,1,1,0,24,N/A
26,Adulte,Femme,Urbain,Fondamental,5,Célibataire,0,1,0,3,32158.37843315424,4,0,0,26,N/A
25,Jeune,Femme,Urbain,Secondaire,2,Marié,0,1,0,3,31020.747241919238,0,0,1,25,N/A
29,Adulte,Homme,Rural,Sans niveau,13,Divorcé,0,0,0,3,20358.940614945768,4,0,0,29,N/A
51,Sénior,Femme,Urbain,Fondamental,33,Marié,0,0,0,2,34528.19870806874,4,0,1,51,N/A
50,Sénior,Femme,Urbain,Fondamental,32,Divorcé,1,0,1,3,40098.214903834814,2,0,0,50,N/A
65,Âgé,Femme,Rural,Fondamental,47,Célibataire,0,1,0,5,35489.64254001328,3,0,0,65,N/A
40,Sénior,Femme,Urbain,Fondamental,16,Célibataire,0,1,0,3,33726.25512813022,2,0,0,40,N/A
41,Sénior,Homme,Urbain,Secondaire,22,Marié,0,0,1,3,36558.85875956179,1,1,0,41,N/A
54,Sénior,Homme,Rural,Supérieur,33,Marié,1,0,0,5,39417.13329125149,2,0,0,54,N/A
52,Sénior,Homme,Rural,Sans niveau,35,Marié,0,0,0,5,24746.23544111819,1,1,0,52,N/A
61,Âgé,Femme,Rural,Fondamental,38,Célibataire,0,1,0,2,37763.811749449924,1,1,0,61,N/A
57,Sénior,Femme,Urbain,Sans niveau,37,Divorcé,0,0,0,4,31185.216703190938,2,0,1,57,N/A
39,Adulte,Homme,Urbain,Fondamental,16,Célibataire,1,1,0,3,40363.445416324044,5,1,0,39,N/A
44,Sénior,Homme,Urbain,Fondamental,22,Marié,1,0,0,4,37598.79054610816,0,1,0,44,N/A
52,Sénior,Homme,Rural,Fondamental,34,Célibataire,0,0,0,2,33400.10862265202,2,0,0,52,N/A
18,Jeune,Femme,Rural,Supérieur,0,Marié,1,0,0,4,22825.541749414217,1,1,0,18,N/A
52,Sénior,Homme,Urbain,Supérieur,34,Marié,1,0,0,3,49493.43551014381,0,1,1,52,N/A
54,Sénior,Homme,Rural,Sans niveau,34,Célibataire,0,0,0,6,23069.097499750733,2,1,0,54,N/A
64,Âgé,Homme,Rural,Fondamental,42,Célibataire,0,0,0,4,30190.484339247752,2,1,0,64,N/A
31,Adulte,Homme,Urbain,Fondamental,14,Célibataire,0,1,0,2,42223.66417373995,4,1,0,31,N/A
20,Jeune,Femme,Urbain,Fondamental,0,Marié,0,1,1,4,34973.2634993176,0,1,0,20,N/A
18,Jeune,Femme,Urbain,Secondaire,0,Marié,0,0,0,3,27024.095714400235,3,0,0,18,N/A
22,Jeune,Homme,Urbain,Sans niveau,6,Célibataire,1,0,0,3,32477.90172845776,3,1,0,22,N/A
43,Sénior,Femme,Rural,None,26,Marié,1,0,1,6,25296.161201664603,2,0,0,43,N/A
31,Adulte,Homme,Urbain,Supérieur,7,Divorcé,0,1,0,2,49061.13882040642,0,0,0,31,N/A
56,Sénior,Femme,Urbain,Secondaire,32,Célibataire,0,1,0,3,45129.2993048791,3,1,0,56,N/A
44,Sénior,Homme,Rural,Fondamental,23,None,0,1,0,4,32621.021379188667,7,1,0,44,N/A
26,Adulte,Homme,Urbain,Sans niveau,7,Divorcé,0,1,0,5,28992.448216626122,1,0,0,26,N/A
32,Adulte,Homme,Urbain,Sans niveau,14,Marié,0,1,0,4,41572.266788157656,2,0,1,32,N/A
32,Adulte,Homme,Rural,Secondaire,8,Célibataire,0,0,0,4,25690.27670840124,1,0,0,32,N/A
43,Sénior,Homme,Rural,Sans niveau,19,Célibataire,0,0,0,4,20964.73086678131,2,0,0,43,N/A
59,Sénior,Femme,Urbain,Fondamental,43,Marié,1,1,0,2,47858.22235618011,2,0,0,59,N/A
30,Adulte,Femme,Rural,Supérieur,7,Marié,1,1,0,3,,2,0,0,30,N/A
68,Âgé,Homme,Urbain,None,50,Marié,0,0,0,6,37936.61695153414,3,0,0,68,N/A
49,Sénior,Femme,Rural,Fondamental,26,Marié,1,1,0,2,29291.746299345647,1,0,0,49,N/A
56,Sénior,Homme,Urbain,Sans niveau,32,Marié,1,1,0,2,39885.714692593276,1,0,0,56,N/A
